gateway_id,mac_addr,reader_ip,location_id,reader_status,up_status,down_status,assigned,serial,created_at,updated_at,deleted_at
137,AC233FC09C8D,NULL,50,NULL,"2021-04-16 06:08:36","0000-00-00 00:00:00",1,L3-RM-204,"2021-04-15 09:31:58","2021-04-16 06:08:36",NULL
138,AC233FC09C8E,NULL,51,NULL,"2021-04-16 06:08:57","0000-00-00 00:00:00",1,L3-RT-05,"2021-04-15 09:31:58","2021-04-16 06:08:57",NULL
139,AC233FC09C8F,NULL,51,NULL,"2021-04-16 06:09:08","0000-00-00 00:00:00",1,L3-RT-06,"2021-04-15 09:31:58","2021-04-16 06:09:08",NULL
140,AC233FC09C90,NULL,52,NULL,"2021-04-16 06:09:29","0000-00-00 00:00:00",1,L3-RM-301,"2021-04-15 09:31:58","2021-04-16 06:09:29",NULL
141,AC233FC09C91,NULL,52,NULL,"2021-04-16 06:09:42","0000-00-00 00:00:00",1,L3-RM-302,"2021-04-15 09:31:58","2021-04-16 06:09:42",NULL
142,AC233FC09C92,NULL,52,NULL,"2021-04-16 06:09:59","0000-00-00 00:00:00",1,L3-RM-303,"2021-04-15 09:31:58","2021-04-16 06:09:59",NULL
143,AC233FC09C93,NULL,52,NULL,"2021-04-16 06:10:13","0000-00-00 00:00:00",1,L3-RM-304,"2021-04-15 09:31:58","2021-04-16 06:10:13",NULL
144,AC233FC09C94,NULL,53,NULL,"2021-04-16 06:10:44","0000-00-00 00:00:00",1,L3-RT-07,"2021-04-15 09:31:58","2021-04-16 06:10:44",NULL
145,AC233FC09C95,NULL,53,NULL,"2021-04-16 06:10:56","0000-00-00 00:00:00",1,L3-RT-08,"2021-04-15 09:31:58","2021-04-16 06:10:56",NULL
146,AC233FC09C96,NULL,54,NULL,"2021-04-16 06:11:18","0000-00-00 00:00:00",1,L3-RM-401,"2021-04-15 09:31:58","2021-04-16 06:11:18",NULL
147,AC233FC09C97,NULL,54,NULL,"2021-04-16 06:11:38","0000-00-00 00:00:00",1,L3-RM-402,"2021-04-15 09:31:58","2021-04-16 06:11:38",NULL
148,AC233FC09C98,NULL,54,NULL,"2021-04-16 06:11:51","0000-00-00 00:00:00",1,L3-RM-403,"2021-04-15 09:31:58","2021-04-16 06:11:51",NULL
149,AC233FC09C99,NULL,54,NULL,"2021-04-16 06:12:03","0000-00-00 00:00:00",1,L3-RM-404,"2021-04-15 09:31:58","2021-04-16 06:12:03",NULL
150,AC233FC09C9A,NULL,55,NULL,"2021-04-16 06:12:17","0000-00-00 00:00:00",1,L3-RT-09,"2021-04-15 09:31:58","2021-04-16 06:12:17",NULL
151,AC233FC09C9B,NULL,55,NULL,"2021-04-16 06:12:28","0000-00-00 00:00:00",1,L3-RT-10,"2021-04-15 09:31:58","2021-04-16 06:12:28",NULL
152,AC233FC09C9C,NULL,56,NULL,"2021-04-16 06:12:49","0000-00-00 00:00:00",1,L3-RM-501,"2021-04-15 09:31:58","2021-04-16 06:12:49",NULL
