log_id,log_time,gateway_id,beacon_id,rssi,battery_level,x_value,y_value,z_value,rawData
1763,"2021-04-01 14:26:57",2,5,-63,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1764,"2021-04-01 14:27:05",4,5,-62,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1765,"2021-04-01 14:27:17",2,5,-63,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1766,"2021-04-01 14:27:17",4,5,-62,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1767,"2021-04-01 14:27:37",2,5,-63,100,0.0585938,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000FFFFB010237C3A83F23AC
1768,"2021-04-01 14:27:43",4,5,-62,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1769,"2021-04-01 14:28:07",4,1,-69,100,0.046875,0,0.96875,0201060303E1FF1216E1FFA10364000C000000F83BC3A83F23AC
1770,"2021-04-01 14:28:17",1,1,-54,100,0.0390625,0,0.96875,0201060303E1FF1216E1FFA10364000A000000F83BC3A83F23AC
1771,"2021-04-01 14:28:33",2,5,-64,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1772,"2021-04-01 14:28:43",1,3,-73,100,0.046875,0,0.957031,0201060303E1FF1216E1FFA10364000C000000F53DC3A83F23AC
1773,"2021-04-01 14:28:47",1,4,-78,100,0.0585938,0.0078125,0.949219,0201060303E1FF1216E1FFA10364000F000200F330C3A83F23AC
1774,"2021-04-01 14:28:43",2,3,-53,100,0.046875,0,0.957031,0201060303E1FF1216E1FFA10364000C000000F53DC3A83F23AC
1775,"2021-04-01 14:28:49",4,5,-63,100,0.0585938,-0.0273438,1,0201060303E1FF1216E1FFA10364000FFFF9010037C3A83F23AC
1776,"2021-04-01 14:28:43",2,5,-67,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1777,"2021-04-01 14:28:55",2,4,-59,100,0.0585938,0.0078125,0.9375,0201060303E1FF1216E1FFA10364000F000200F030C3A83F23AC
1778,"2021-04-01 14:28:53",4,5,-62,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1779,"2021-04-01 14:28:57",4,1,-75,100,0.0390625,0,0.96875,0201060303E1FF1216E1FFA10364000A000000F83BC3A83F23AC
1780,"2021-04-01 14:29:07",1,1,-58,100,0.046875,-0.0078125,0.957031,0201060303E1FF1216E1FFA10364000CFFFE00F53BC3A83F23AC
1781,"2021-04-01 14:29:07",2,5,-67,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1782,"2021-04-01 14:29:19",4,5,-62,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1783,"2021-04-01 14:29:19",1,4,-78,100,0.0664062,0.0078125,0.949219,0201060303E1FF1216E1FFA103640011000200F330C3A83F23AC
1784,"2021-04-01 14:29:29",4,4,-75,100,0.0664062,0.0078125,0.9375,0201060303E1FF1216E1FFA103640011000200F030C3A83F23AC
1785,"2021-04-01 14:29:23",2,4,-54,100,0.0585938,0.0078125,0.9375,0201060303E1FF1216E1FFA10364000F000200F030C3A83F23AC
1786,"2021-04-01 14:29:25",2,5,-64,100,0.0585938,-0.0195312,1,0201060303E1FF1216E1FFA10364000FFFFB010037C3A83F23AC
1787,"2021-04-01 14:29:45",4,5,-62,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1788,"2021-04-01 14:29:51",2,5,-64,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1789,"2021-04-01 14:29:51",4,5,-62,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1790,"2021-04-01 14:29:57",2,5,-64,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1791,"2021-04-01 14:29:58",4,5,-64,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1792,"2021-04-01 14:30:13",1,3,-70,100,0.0585938,0,0.957031,0201060303E1FF1216E1FFA10364000F000000F53DC3A83F23AC
1793,"2021-04-01 14:30:23",4,4,-74,100,0.0664062,0.0078125,0.949219,0201060303E1FF1216E1FFA103640011000200F330C3A83F23AC
1794,"2021-04-01 14:30:27",2,4,-56,100,0.0585938,0.0078125,0.9375,0201060303E1FF1216E1FFA10364000F000200F030C3A83F23AC
1795,"2021-04-01 14:30:33",2,3,-51,100,0.0585938,0,0.957031,0201060303E1FF1216E1FFA10364000F000000F53DC3A83F23AC
1796,"2021-04-01 14:30:44",2,5,-66,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1797,"2021-04-01 14:30:48",4,5,-62,100,0.046875,-0.0273438,1.00781,0201060303E1FF1216E1FFA10364000CFFF9010237C3A83F23AC
